,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label
1744,HoIrGe,0,0.332865697,MgSrSi (Pnma),26,Common non-HH Prototype
672,CePtAl,0,0.317404237,MgSrSi (Pnma),16,Common non-HH Prototype
253,TmRhGe,0,0.298566102,MgSrSi (Pnma),28,Common non-HH Prototype
674,TmRuGe,0,0.391277696,MgSrSi (Pnma),27,Common non-HH Prototype
679,SmIrGe,0,0.364047513,MgSrSi (Pnma),21,Common non-HH Prototype
686,CeMnGe,0,0.430374924,[PbClF],14,Other non-HH Prototype
691,TbPtSi,0,0.347004539,MgSrSi (Pnma),25,Common non-HH Prototype
1432,TmRhIn,0,0.129880036,MoNiP (P-62m),27,Common non-HH Prototype
1754,DyAgGe,0,0.155057988,MoNiP (P-62m),27,Common non-HH Prototype
1388,ErCoAl,0,0.279659571,[MgZn2],26,Other non-HH Prototype
694,GdIrAl,0,0.313943927,MgSrSi (Pnma),15,Common non-HH Prototype
1757,ScMoSi,0,0.495572302,phase_separating,13,Phase Separating
703,NdIrSn,0,0.217375292,MoNiP (P-62m),19,Common non-HH Prototype
707,HoAlGe,0,0.385269401,[YAlGe],20,Other non-HH Prototype
708,SmRhIn,0,0.155820546,MoNiP (P-62m),20,Common non-HH Prototype
236,LaRhSi,0,0.464964866,[ZrSO],16,Other non-HH Prototype
710,PrNiZn,0,0.174596309,MoNiP (P-62m),27,Common non-HH Prototype
1763,CeCuCd,0,0.130727483,MoNiP (P-62m),26,Common non-HH Prototype
712,HoMnSi,0,0.422822197,MgSrSi (Pnma),24,Common non-HH Prototype
728,HoFeCu,0,0.525885491,[Laves(cub)#MgCu2],32,Other non-HH Prototype
1400,YCoAl,0,0.287842414,[MgZn2],15,Other non-HH Prototype
1396,LaAuCd,0,0.12507265,MoNiP (P-62m),26,Common non-HH Prototype
1100,DyRuGe,0,0.405081194,MgSrSi (Pnma),24,Common non-HH Prototype
